웹툰명,회차,이미지_개수
FRIDAY_1초,bundle_01,12
FRIDAY_1초,bundle_02,17
FRIDAY_1초,bundle_03,22
FRIDAY_1초,bundle_04,23
FRIDAY_1초,bundle_05,22
FRIDAY_3분의 1이 없어도,bundle_01,10
FRIDAY_3분의 1이 없어도,bundle_02,11
FRIDAY_3분의 1이 없어도,bundle_03,13
FRIDAY_3분의 1이 없어도,bundle_04,13
FRIDAY_3분의 1이 없어도,bundle_05,12
FRIDAY_A.I. 닥터,bundle_01,17
FRIDAY_A.I. 닥터,bundle_02,17
FRIDAY_A.I. 닥터,bundle_03,20
FRIDAY_A.I. 닥터,bundle_04,22
FRIDAY_A.I. 닥터,bundle_05,21
FRIDAY_가장 썩은 것을 줄게,bundle_01,21
FRIDAY_가장 썩은 것을 줄게,bundle_02,24
FRIDAY_가장 썩은 것을 줄게,bundle_03,22
FRIDAY_가장 썩은 것을 줄게,bundle_04,24
FRIDAY_가장 썩은 것을 줄게,bundle_05,17
FRIDAY_개집사,bundle_01,10
FRIDAY_개집사,bundle_02,10
FRIDAY_개집사,bundle_03,10
FRIDAY_개집사,bundle_04,10
FRIDAY_개집사,bundle_05,10
FRIDAY_광마회귀,bundle_01,18
FRIDAY_광마회귀,bundle_02,20
FRIDAY_광마회귀,bundle_03,19
FRIDAY_광마회귀,bundle_04,18
FRIDAY_광마회귀,bundle_05,17
FRIDAY_괴물 의상실,bundle_01,16
FRIDAY_괴물 의상실,bundle_02,14
FRIDAY_괴물 의상실,bundle_03,15
FRIDAY_괴물 의상실,bundle_04,15
FRIDAY_괴물 의상실,bundle_05,17
FRIDAY_구야는 신입,bundle_01,10
FRIDAY_구야는 신입,bundle_02,10
FRIDAY_구야는 신입,bundle_03,10
FRIDAY_구야는 신입,bundle_04,10
FRIDAY_구야는 신입,bundle_05,10
FRIDAY_그 기사가 레이디로 사는 법,bundle_01,15
FRIDAY_그 기사가 레이디로 사는 법,bundle_02,12
FRIDAY_그 기사가 레이디로 사는 법,bundle_03,18
FRIDAY_그 기사가 레이디로 사는 법,bundle_04,20
FRIDAY_그 기사가 레이디로 사는 법,bundle_05,19
FRIDAY_그거 사랑 아니야,bundle_01,27
FRIDAY_그거 사랑 아니야,bundle_02,19
FRIDAY_그거 사랑 아니야,bundle_03,20
FRIDAY_그거 사랑 아니야,bundle_04,18
FRIDAY_그거 사랑 아니야,bundle_05,22
FRIDAY_그냥 선생님,bundle_01,10
FRIDAY_그냥 선생님,bundle_02,10
FRIDAY_그냥 선생님,bundle_03,10
FRIDAY_그냥 선생님,bundle_04,10
FRIDAY_그냥 선생님,bundle_05,10
FRIDAY_그렇게 물거품이 되어도,bundle_01,23
FRIDAY_그렇게 물거품이 되어도,bundle_02,18
FRIDAY_그렇게 물거품이 되어도,bundle_03,18
FRIDAY_그렇게 물거품이 되어도,bundle_04,17
FRIDAY_그렇게 물거품이 되어도,bundle_05,17
FRIDAY_나 혼자 만렙 뉴비,bundle_01,27
FRIDAY_나 혼자 만렙 뉴비,bundle_02,27
FRIDAY_나 혼자 만렙 뉴비,bundle_03,27
FRIDAY_나 혼자 만렙 뉴비,bundle_04,23
FRIDAY_나 혼자 만렙 뉴비,bundle_05,21
FRIDAY_달이 없는 나라,bundle_01,10
FRIDAY_달이 없는 나라,bundle_02,10
FRIDAY_달이 없는 나라,bundle_03,10
FRIDAY_달이 없는 나라,bundle_04,10
FRIDAY_달이 없는 나라,bundle_05,11
FRIDAY_도깨비의 밤,bundle_01,23
FRIDAY_도깨비의 밤,bundle_02,25
